salary age college grad comten ceoten sales profits mktval profmarg
396 80 1 0 58 28 513 53 963 10.33138
398 54 1 0 4 4 633 69 1800 10.90047
707 46 1 1 6 1 130 26 1200 20
984 60 1 0 7 4 1500 135 1700 9
410 55 1 0 36 20 501 34 590 6.786427
1095 60 1 1 33 5 27600 1400 17100 5.072464
694 61 1 1 35 19 4200 75 1000 1.785714
834 61 1 1 32 0 7600 364 5300 4.789474
1630 39 1 1 8 8 227 27 822 11.89427
493 55 1 1 4 1 1300 80 834 6.153846
625 57 0 0 36 9 1400 87 979 6.214286
483 52 1 1 18 14 1000 35 548 3.5
733 60 1 0 8 8 347 18 778 5.18732
2102 67 1 1 41 20 10300 1700 45400 16.50485
853 58 1 0 34 34 818 33 411 4.03423
345 54 1 1 33 0 994 56 781 5.633803
800 57 1 1 12 9 1800 32 479 1.777778
764 55 1 1 31 16 1100 145 2100 13.18182
806 59 1 1 3 3 3000 257 3900 8.566667
310 40 1 0 18 1 2400 60 1300 2.5
1119 61 1 0 34 9 2500 71 1200 2.84
1287 59 1 1 4 3 4700 222 2700 4.723404
1170 57 1 1 9 3 1900 208 5600 10.94737
880 62 1 0 36 12 5300 229 4000 4.320755
1091 33 1 0 9 9 181 36 1300 19.8895
1100 65 1 0 18 6 563 -271 544 -48.13499
650 53 1 1 5 4 1482 40 557 2.699055
607 38 1 1 7 3 231 38 599 16.45022
1133 63 1 0 9 9 870 37 686 4.252873
393 58 1 1 36 6 285 40 956 14.03509
605 53 1 0 16 4 422 30 505 7.109005
1444 59 1 1 2 2 6204 401 10700 6.463572
1033 62 1 1 30 1 5400 478 7300 8.851851
1142 50 1 1 11 3 2600 166 2200 6.384615
537 46 1 1 20 20 1200 17 669 1.416667
693 42 1 0 17 12 1400 206 3000 14.71429
439 57 1 1 26 12 2600 280 3800 10.76923
358 64 1 0 43 11 584 45 423 7.70548
1276 64 1 0 41 17 635 52 1300 8.188976
873 41 1 1 2 2 149 21 567 14.09396
537 57 1 1 35 1 11400 210 4800 1.842105
713 57 1 1 12 2 1600 55 1300 3.4375
1350 68 1 1 5 5 3300 92 2100 2.787879
1268 47 1 0 20 4 1100 47 2500 4.272727
465 64 1 1 31 3 2400 326 2400 13.58333
693 46 1 1 7 3 2200 44 533 2
369 49 1 1 4 1 65 -132 1200 -203.0769
381 54 1 0 30 2 2700 386 4500 14.2963
467 49 1 1 13 0 513 49 534 9.551657
559 57 1 1 34 16 605 56 653 9.256198
218 57 1 1 33 5 504 41 421 8.134921
264 63 1 0 42 3 334 43 480 12.87425
185 58 1 0 39 1 766 49 560 6.396867
387 71 1 1 32 13 432 28 477 6.481482
2220 63 1 1 18 18 277 -80 540 -28.88087
445 69 1 0 23 0 249 31 828 12.4498
